ii: 1 
ii: 1 
0 3823.1 
0 3822.87 
0 2663.64 
1 3823.1 
1 395.438 
1 0 
ii: 1 
0 3823.1 
0 3822.87 
0 2663.64 
1 3823.1 
1 395.438 
1 0 
ii: 1 
0 3823.1 
0 3822.87 
0 2663.64 
