MODE,MCS,NCB,THROUGHPUT
EDMG_SC,1,1,357.143
EDMG_SC,1,2,713.178
EDMG_SC,1,3,1071.67
EDMG_SC,1,4,1427.91
EDMG_SC,2,1,715.71
EDMG_SC,2,2,1426.36
EDMG_SC,2,3,2143.82
EDMG_SC,2,4,2854.36
EDMG_SC,3,1,894.328
EDMG_SC,3,2,1786.03
EDMG_SC,3,3,2678.1
EDMG_SC,3,4,3575.1
EDMG_SC,4,1,1074.24
EDMG_SC,4,2,2145.43
EDMG_SC,4,3,3214.86
EDMG_SC,4,4,4289.46
EDMG_SC,5,1,1162.93
EDMG_SC,5,2,2321.84
EDMG_SC,5,3,3487.91
EDMG_SC,5,4,4648.84
EDMG_SC,6,1,1252.79
EDMG_SC,6,2,2496.48
EDMG_SC,6,3,3750.53
EDMG_SC,6,4,4998.96
EDMG_SC,7,1,1430.32
EDMG_SC,7,2,2859.68
EDMG_SC,7,3,4286.71
EDMG_SC,7,4,5710.56
EDMG_SC,8,1,1788.16
EDMG_SC,8,2,3567.63
EDMG_SC,8,3,5357.39
EDMG_SC,8,4,7135.48
EDMG_SC,9,1,2144.89
EDMG_SC,9,2,4286.3
EDMG_SC,9,3,6430.24
EDMG_SC,9,4,8569.05
EDMG_SC,10,1,2324.97
EDMG_SC,10,2,4649.81
EDMG_SC,10,3,6960.5
EDMG_SC,10,4,9296.09
EDMG_SC,11,1,2504.88
EDMG_SC,11,2,5003.33
EDMG_SC,11,3,7506.53
EDMG_SC,11,4,10004
EDMG_SC,12,1,2863.93
EDMG_SC,12,2,5720.56
EDMG_SC,12,3,8575.47
EDMG_SC,12,4,11429.8
EDMG_SC,13,1,3573.3
EDMG_SC,13,2,7152.4
EDMG_SC,13,3,10720
